ranks,nodes,mem,time
1,1,512M,0.187
1,1,512M,0.193
1,1,512M,0.166
1,1,512M,0.167
2,1,512M,0.304
2,1,512M,0.273
2,1,512M,0.274
4,1,512M,0.256
2,1,512M,0.231
4,1,512M,0.245
4,1,512M,0.241
4,1,512M,0.243
8,1,512M,0.298
8,1,512M,0.306
16,1,512M,0.295
8,1,512M,0.280
16,1,512M,0.286
8,1,512M,0.300
16,1,512M,0.313
2,2,512M,0.156
16,1,512M,0.320
4,2,512M,0.907
2,2,512M,1.749
2,2,512M,1.261
4,2,512M,1.311
4,2,512M,0.675
4,2,512M,1.146
8,2,512M,1.256
8,2,512M,1.673
8,2,512M,1.687
8,2,512M,1.264
16,2,512M,1.292
16,2,512M,1.734
16,2,512M,0.770
4,4,512M,0.174
4,4,512M,0.148
4,4,512M,0.175
8,4,512M,0.253
8,4,512M,0.240
8,4,512M,0.268
8,4,512M,0.235
16,4,512M,0.302
16,4,512M,0.302
1,1,1G,0.145
16,4,512M,0.251
16,4,512M,0.284
1,1,1G,0.160
1,1,1G,0.164
1,1,1G,0.160
2,1,1G,0.253
2,1,1G,0.259
2,1,1G,0.269
2,1,1G,0.291
4,1,1G,0.250
4,1,1G,0.252
4,1,1G,0.259
4,1,1G,0.259
8,1,1G,1.206
8,1,1G,1.212
8,1,1G,1.180
16,1,1G,0.663
16,1,1G,0.307
2,2,1G,1.583
16,1,1G,1.736
2,2,1G,1.297
2,2,1G,0.870
2,2,1G,0.955
4,2,1G,1.338
4,2,1G,0.262
4,2,1G,0.280
8,2,1G,0.261
4,2,1G,0.243
8,2,1G,0.280
8,2,1G,0.283
8,2,1G,0.309
16,2,1G,0.292
16,2,1G,0.290
16,2,1G,0.281
16,2,1G,0.283
4,4,1G,0.145
4,4,1G,0.164
4,4,1G,0.169
4,4,1G,0.142
8,4,1G,0.268
8,4,1G,0.403
8,4,1G,0.405
8,4,1G,0.401
16,4,1G,0.266
16,4,1G,0.285
1,1,1500M,0.151
16,4,1G,0.275
16,4,1G,0.321
1,1,1500M,1.667
1,1,1500M,1.696
1,1,1500M,1.704
2,1,1500M,0.896
2,1,1500M,0.918
2,1,1500M,1.074
2,1,1500M,1.562
4,1,1500M,1.574
4,1,1500M,1.395
4,1,1500M,0.622
8,1,1500M,1.735
4,1,1500M,1.717
8,1,1500M,0.773
8,1,1500M,1.508
8,1,1500M,0.298
16,1,1500M,0.315
16,1,1500M,0.290
16,1,1500M,0.317
2,2,1500M,0.150
2,2,1500M,0.151
16,1,1500M,0.298
2,2,1500M,0.159
2,2,1500M,0.165
4,2,1500M,0.244
4,2,1500M,0.266
4,2,1500M,0.264
8,2,1500M,0.258
8,2,1500M,0.248
4,2,1500M,0.235
8,2,1500M,0.261
8,2,1500M,0.261
16,2,1500M,0.293
16,2,1500M,0.295
16,2,1500M,0.281
4,4,1500M,0.168
4,4,1500M,0.141
4,4,1500M,0.165
4,4,1500M,0.183
8,4,1500M,1.489
8,4,1500M,0.923
8,4,1500M,1.267
8,4,1500M,1.202
16,4,1500M,1.748
16,4,1500M,1.425
16,4,1500M,1.546
1,1,3G,1.503
16,4,1500M,1.651
1,1,3G,1.012
1,1,3G,1.082
2,1,3G,1.096
2,1,3G,0.694
2,1,3G,0.274
4,1,3G,0.253
2,1,3G,0.232
4,1,3G,0.264
4,1,3G,0.256
4,1,3G,0.243
8,1,3G,0.290
8,1,3G,0.303
8,1,3G,0.304
8,1,3G,0.292
2,2,3G,0.164
2,2,3G,0.171
2,2,3G,0.173
4,2,3G,0.241
4,2,3G,0.259
8,2,3G,0.259
8,2,3G,0.287
4,2,3G,0.249
4,2,3G,0.239
8,2,3G,0.252
8,2,3G,0.670
16,2,3G,1.494
16,2,3G,1.560
16,2,3G,1.703
16,2,3G,1.322
4,4,3G,0.147
4,4,3G,0.172
4,4,3G,1.390
4,4,3G,1.390
8,4,3G,1.628
8,4,3G,1.655
8,4,3G,1.340
8,4,3G,0.269
16,4,3G,0.288
16,4,3G,0.304
16,4,3G,0.282
16,4,3G,0.284
