ranks,nodes,mem,time
1,1,512M,0.414
1,1,512M,0.226
1,1,512M,0.279
1,1,512M,0.165
2,1,512M,1.276
2,1,512M,1.124
2,1,512M,0.972
2,1,512M,0.264
4,1,512M,0.267
4,1,512M,0.267
4,1,512M,0.249
4,1,512M,0.248
8,1,512M,0.278
16,1,512M,0.316
8,1,512M,0.288
8,1,512M,0.261
16,1,512M,0.307
16,1,512M,0.313
2,2,512M,0.168
2,2,512M,0.179
2,2,512M,0.166
4,2,512M,0.268
2,2,512M,0.180
4,2,512M,0.241
4,2,512M,0.263
8,2,512M,0.271
8,2,512M,0.265
8,2,512M,1.273
16,2,512M,2.303
16,2,512M,0.340
16,2,512M,0.292
16,2,512M,1.050
4,4,512M,1.140
4,4,512M,1.383
4,4,512M,1.176
4,4,512M,0.840
8,4,512M,1.133
8,4,512M,1.158
8,4,512M,1.553
8,4,512M,1.271
16,4,512M,1.424
16,4,512M,0.306
16,4,512M,0.268
16,4,512M,0.307
1,1,1G,0.163
1,1,1G,0.160
1,1,1G,0.159
1,1,1G,0.165
2,1,1G,0.268
2,1,1G,0.257
2,1,1G,0.268
4,1,1G,0.250
4,1,1G,0.241
4,1,1G,0.243
4,1,1G,0.252
8,1,1G,0.278
8,1,1G,0.302
8,1,1G,0.294
8,1,1G,0.288
16,1,1G,0.311
16,1,1G,0.326
2,2,1G,0.136
16,1,1G,0.305
16,1,1G,0.313
2,2,1G,1.151
2,2,1G,1.340
2,2,1G,1.215
4,2,1G,1.301
4,2,1G,1.601
4,2,1G,0.947
4,2,1G,1.306
8,2,1G,1.325
8,2,1G,1.576
8,2,1G,1.580
8,2,1G,1.508
16,2,1G,1.453
16,2,1G,0.310
16,2,1G,0.282
16,2,1G,0.296
4,4,1G,0.150
4,4,1G,0.145
4,4,1G,0.167
8,4,1G,0.248
8,4,1G,0.263
8,4,1G,0.267
16,4,1G,0.268
16,4,1G,0.279
16,4,1G,0.312
1,1,1500M,0.139
16,4,1G,0.273
1,1,1500M,0.149
1,1,1500M,0.163
1,1,1500M,0.167
2,1,1500M,0.259
4,1,1500M,0.264
4,1,1500M,0.264
2,1,1500M,0.242
2,1,1500M,0.246
4,1,1500M,0.241
4,1,1500M,1.458
8,1,1500M,1.539
8,1,1500M,1.392
8,1,1500M,1.393
16,1,1500M,1.562
8,1,1500M,1.566
16,1,1500M,1.566
16,1,1500M,1.658
2,2,1500M,1.297
16,1,1500M,1.489
2,2,1500M,0.954
2,2,1500M,0.956
4,2,1500M,0.270
2,2,1500M,0.164
4,2,1500M,0.267
4,2,1500M,0.268
8,2,1500M,0.247
8,2,1500M,0.243
4,2,1500M,0.238
8,2,1500M,0.266
8,2,1500M,0.263
16,2,1500M,0.308
4,4,1500M,0.156
16,2,1500M,0.313
16,2,1500M,0.277
16,2,1500M,0.309
4,4,1500M,0.166
4,4,1500M,0.207
8,4,1500M,0.270
8,4,1500M,0.254
8,4,1500M,0.255
16,4,1500M,0.281
8,4,1500M,0.252
16,4,1500M,0.307
16,4,1500M,0.264
16,4,1500M,0.316
1,1,3G,0.150
1,1,3G,0.159
1,1,3G,0.161
1,1,3G,1.255
2,1,3G,1.205
2,1,3G,0.994
2,1,3G,1.284
2,1,3G,1.266
4,1,3G,1.377
4,1,3G,1.292
4,1,3G,1.587
4,1,3G,1.640
8,1,3G,1.062
8,1,3G,0.953
8,1,3G,0.300
8,1,3G,0.307
2,2,3G,0.215
2,2,3G,0.166
2,2,3G,0.160
2,2,3G,0.175
4,2,3G,0.242
4,2,3G,0.240
4,2,3G,0.265
8,2,3G,0.254
4,2,3G,0.241
8,2,3G,0.276
8,2,3G,0.252
16,2,3G,0.304
16,2,3G,0.286
16,2,3G,0.279
4,4,3G,0.164
4,4,3G,0.165
16,2,3G,0.307
4,4,3G,0.626
4,4,3G,0.585
8,4,3G,1.527
8,4,3G,1.556
8,4,3G,1.175
8,4,3G,0.954
16,4,3G,1.306
16,4,3G,1.324
16,4,3G,1.559
16,4,3G,1.405
