ranks,nodes,mem,time
8,1,3G,0.077
16,1,1500M,0.078
16,1,1500M,0.072
16,1,1500M,0.073
16,1,1500M,0.073
2,2,1500M,0.077
2,2,3G,0.077
2,2,1500M,0.077
2,2,3G,0.093
2,2,3G,0.092
2,2,1500M,0.091
2,2,1500M,0.091
4,2,1500M,0.082
4,2,1500M,0.082
4,2,3G,0.092
2,2,3G,0.092
4,2,3G,0.092
4,2,1500M,0.074
4,2,1500M,0.073
4,2,3G,0.077
8,2,1500M,0.077
8,2,3G,0.091
8,2,1500M,0.092
8,2,3G,0.073
8,2,1500M,0.073
8,2,1500M,0.078
8,2,3G,0.090
16,2,3G,0.074
16,2,1500M,0.073
8,2,3G,0.072
16,2,1500M,0.075
16,2,3G,0.073
16,2,3G,0.074
4,4,1500M,0.072
16,2,1500M,0.073
16,2,1500M,0.075
16,2,3G,0.077
4,4,3G,0.076
4,4,1500M,0.071
4,4,3G,0.092
4,4,1500M,0.092
4,4,1500M,0.092
4,4,3G,0.092
4,4,3G,0.071
8,4,1500M,0.079
8,4,1500M,0.079
8,4,3G,0.079
16,4,1500M,0.072
8,4,1500M,0.073
8,4,1500M,0.074
16,4,1500M,0.071
16,4,3G,0.075
16,4,3G,0.073
16,4,1500M,0.091
1,1,3G,0.071
16,4,3G,0.074
16,4,1500M,0.072
1,1,3G,0.092
1,1,3G,0.091
2,1,3G,0.091
1,1,3G,0.092
2,1,3G,0.092
2,1,3G,0.092
2,1,3G,0.092
4,1,3G,0.092
4,1,3G,0.073
4,1,3G,0.090
4,1,3G,0.073
8,1,3G,0.074
8,1,3G,0.073
8,1,3G,0.074
8,1,3G,0.074
2,2,3G,0.092
2,2,3G,0.091
2,2,3G,0.092
2,2,3G,0.092
4,2,3G,0.090
4,2,3G,0.093
4,2,3G,0.077
8,2,3G,0.077
8,2,3G,0.091
16,2,3G,0.074
8,2,3G,0.074
8,2,3G,0.076
16,2,3G,0.075
16,2,3G,0.074
16,2,3G,0.074
4,4,3G,0.092
4,4,3G,0.093
4,4,3G,0.092
8,4,3G,0.075
4,4,3G,0.075
8,4,3G,0.092
8,4,3G,0.093
8,4,3G,0.079
16,4,3G,0.073
16,4,3G,0.081
16,4,3G,0.074
1,1,512M,1.503
1,1,512M,1.617
1,1,512M,1.617
1,1,512M,1.517
2,1,512M,1.856
2,1,512M,1.989
2,1,512M,1.989
2,1,512M,1.854
4,1,512M,1.974
4,1,512M,0.256
4,1,512M,0.256
4,1,512M,0.240
8,1,512M,0.273
8,1,512M,0.306
8,1,512M,0.306
16,1,512M,0.303
16,1,512M,0.302
